
Epoch,Train Loss,Val Loss
1,7.807985713,4.433560250
2,4.065867194,4.916821234
3,7.107629584,7.018447080
4,5.905426891,4.567554017
5,4.359030058,4.036799403
6,4.036049356,4.089087226
7,4.055065161,3.995717789
8,4.061284166,4.035057064
9,4.033537405,4.146616875
10,3.981063150,3.930589721
11,3.931134070,4.143600072
12,3.864729770,4.085361499
13,3.703840958,4.057394680
14,3.121699190,2.674179475
15,2.544721598,2.498679639
16,2.257327893,2.339700656
17,2.183517373,2.236263359
18,2.139821366,2.093592329
19,2.084941675,2.024207644
20,2.045058443,2.098189833
21,2.029197727,1.998248373
22,1.993836405,1.940138782
23,1.985308838,2.036507347
24,1.972581124,1.926275294
25,1.947655163,2.056110868
26,1.952652217,1.957364152
27,1.934216488,1.941072556
28,1.915217179,1.892492531
29,1.906562844,2.100770656
30,1.904019453,1.879567062
31,1.849508723,1.874522308
32,1.852504904,1.910524827
33,1.853786676,1.956182816
34,1.842423355,1.844973067
35,1.839297886,1.975599967
36,1.839576087,1.828704695
37,1.821871846,1.806120452
38,1.819386249,1.785391533
39,1.818146544,1.813530688
40,1.816248329,1.797386556
41,1.803345344,1.877958872
42,1.806135250,1.817003861
43,1.798748524,1.777380815
44,1.791905724,1.795729754
45,1.789828010,1.773714475
46,1.781789823,1.965948032
47,1.785742983,1.787867771
48,1.766456315,1.827481861
49,1.771620054,1.825220544
50,1.778021906,1.721121896
51,1.721128858,1.768580049
52,1.726638747,1.733633811
53,1.723744745,1.796159690
54,1.734073020,1.693344784
55,1.724502659,1.719937875
56,1.715695028,1.702983985
57,1.718458789,1.703780860
58,1.715664591,1.782448413
59,1.710609313,1.687593685
60,1.711731965,1.691552811
